2021-01-03,197
2021-01-02,251
2021-01-01,359
2020-12-31,366
2020-12-30,387
2020-12-29,523
2020-12-28,301
2020-12-27,362
2020-12-26,466
2020-12-25,552
2020-12-24,319
2020-12-23,376
2020-12-22,317
2020-12-21,328
2020-12-20,473
2020-12-19,384
2020-12-18,398
2020-12-17,423
2020-12-16,378
2020-12-15,251
2020-12-14,219
2020-12-13,399
2020-12-12,362
2020-12-11,252
2020-12-10,251
2020-12-09,270
2020-12-08,214
2020-12-07,244
2020-12-06,254
2020-12-05,235
2020-12-04,295
2020-12-03,262
2020-12-02,193
2020-12-01,155
2020-11-30,159
2020-11-29,158
2020-11-28,178
2020-11-27,204
2020-11-26,213
2020-11-25,142
2020-11-24,133
2020-11-23,112
2020-11-22,121
2020-11-21,156
2020-11-20,132
2020-11-19,109
2020-11-18,92
2020-11-17,90
2020-11-16,81
2020-11-15,85
2020-11-14,69
2020-11-13,74
2020-11-12,53
2020-11-11,45
2020-11-10,35
2020-11-09,46
2020-11-08,54
2020-11-07,37
2020-11-06,40
2020-11-05,50
2020-11-04,42
2020-11-03,22
2020-11-02,25
2020-11-01,45
2020-10-31,52
2020-10-30,48
2020-10-29,36
2020-10-28,25
2020-10-27,24
2020-10-26,20
2020-10-25,17
2020-10-24,22
2020-10-23,20
2020-10-22,18
2020-10-21,17
2020-10-20,11
2020-10-19,14
2020-10-18,20
2020-10-17,18
2020-10-16,18
2020-10-15,25
2020-10-14,23
2020-10-13,20
2020-10-12,31
2020-10-11,23
2020-10-10,25
2020-10-09,22
2020-10-08,20
2020-10-07,33
2020-10-06,15
2020-10-05,19
